"Variable","Label","Type_Stata","Type_R","N_Manquants","Pct_Manquant"
"s04q16","4.16. Moyen pour subvenir principalement à ses besoins","%6.2f","haven_labelled",24053,58.05
"s04q17","4.17. A cherché un emploi rémunéré au cours des 30 derniers jours","%6.2f","haven_labelled",24053,58.05
"s04q18","4.18. Raison principale de ne pas avoir cherché du travail","%6.2f","haven_labelled",24435,58.97
"s04q19","4.19. Est néanmoins disponible pour travailler tout de suite","%6.2f","haven_labelled",24587,59.34
"s04q20","4.20. Moment disponible pour travailler","%6.2f","haven_labelled",40822,98.52
"s04q21","4.21. Nombre de mois sans emploi","%6.2f","numeric",40824,98.53
"s04q22","4.22. Durée en mois de recherche d'un emploi","%6.2f","numeric",40825,98.53
"s04q23","4.23. Raison de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q24__1","4.24. Relations personnelles, Parents comme canal de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q24__2","4.24. Concours, Auprès des employeurs comme canal de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q24__3","4.24. Petites annonces par Radio, TV, Journal, Internet comme canal de recherche","%6.2f","haven_labelled",40822,98.52
"s04q24__4","4.24. AGUIPE/FONIJ comme canal de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q24__5","4.24. Cabinet de placement comme canal de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q24__6","4.24. Démarche personnelle (créer sa propre affaire) comme canal de recherche du","%6.2f","haven_labelled",40822,98.52
"s04q24__7","4.24. Autre comme canal de recherche du travail","%6.2f","haven_labelled",40822,98.52
"s04q25","4.25. Genre d'emploi recherché","%6.2f","haven_labelled",40822,98.52
"s04q26","4.26. Montant mensuel minimum  acceptable pour travailler","%6.2f","numeric",40983,98.91
"s04q27","4.27. A exercé une des activités au cours des 12 derniers mois","%6.2f","haven_labelled",24053,58.05
"s04q28a","4.28. Emploi principal exercé","%6.2f","haven_labelled",41294,99.66
"s04q28b","4.28. Emploi Sécondaire","%68.2f","haven_labelled",41294,99.66
"s04q29b","4.29. Code de l'emploi / profession","%6.2f","haven_labelled",24547,59.24
"s04q29c","4.29. Sous-groupe","%6.2f","haven_labelled",24624,59.43
"s04q29d","4.29. Code profession / Metier","%6.2f","haven_labelled",26171,63.16
"s04q30b","4.30. Code de section","%6.2f","haven_labelled",24547,59.24
"s04q30c","4.30. Code de branche d'activité","%6.2f","haven_labelled",24770,59.78
"s04q30d","4.30. Code d'activité","%6.2f","haven_labelled",25456,61.44
"s04q31","4.31. Principal employeur dans cet emploi","%6.2f","haven_labelled",24547,59.24
"s04q32","4.32. Nombre de mois d'exercice dans cet emploi au cours des 12 derniers mois","%6.2f","numeric",24547,59.24
"s04q33","4.33. Bénéficie habituellement de congés payés","%6.2f","haven_labelled",24547,59.24
"s04q34","4.34. Nombre de jours de congé annuel joui au cours des 12 derniers mois","%6.2f","numeric",40113,96.81
"s04q35","4.35. Bénéficie de congés maladie","%6.2f","haven_labelled",24547,59.24
"s04q36","4.36. Nombre de jours par mois consacré habituellement à cet emploi","%6.2f","numeric",24552,59.26
"s04q37","4.37. Nombre d'heures par jour  consacré habituellement à cet emploi","%6.2f","numeric",24548,59.25
"s04q38","4.38. Cotise-t-il à la CNSS ou à la CSP, l'NAMO dans le cadre de cet emploi","%6.2f","haven_labelled",24547,59.24
"s04q39","4.39. Catégorie socioprofessionnelle dans cet emploi","%6.2f","haven_labelled",24547,59.24
"s04q40","4.40. Bénéficie de congés de maternité/paternité","%6.2f","haven_labelled",39067,94.29
"s04q41","4.41. Nombre de jours de congé de maternité/paternité réglementaire","%6.2f","numeric",41139,99.29
"s04q42","4.42. A un bulletin de salaire","%6.2f","haven_labelled",39067,94.29
"s04q43","4.43. Montant du salaire pour cet emploi (pour la période de temps considérée)","%6.2f","numeric",39428,95.16
"s04q43_unite","4.43. Unité","%6.2f","haven_labelled",39476,95.27
"s04q44","4.44. Bénéficie de primes dans le cadre de cet emploi","%6.2f","haven_labelled",39067,94.29
"s04q45","4.45. Evaluation des primes (uniquement ceux qui ne sont pas inclus dans le sala","%6.2f","numeric",40825,98.53
"s04q45_unite","4.45. Unité","%6.2f","haven_labelled",40853,98.6
"s04q46","4.46. Bénéficie d'autres avantages quelconques ( indemnités de transport …)","%6.2f","haven_labelled",39067,94.29
"s04q47","4.47. Evaluation de ces avantages ( uniquement ceux qui ne sont pas inclus dans","%6.2f","numeric",41085,99.16
"s04q47_unite","4.47. Unité","%6.2f","haven_labelled",41100,99.19
"s04q48","4.48. Reçoit de la  nourriture  dans le cadre de cet emploi","%6.2f","haven_labelled",39067,94.29
"s04q49","4.49. Evaluation de cette nourritue","%6.2f","numeric",41111,99.22
"s04q49_unite","4.49. Unité","%6.2f","haven_labelled",41111,99.22
"s04q50","4.50. Exercice d'un emploi secondaire au cours des 12 derniers mois","%6.2f","haven_labelled",24547,59.24
"s04q51b","4.51. Code de l'emploi / profession","%6.2f","haven_labelled",37326,90.09
"s04q51c","4.51. Sous-groupe","%6.2f","haven_labelled",37326,90.09
"s04q51d","4.51. Code de profession / Metier","%6.2f","haven_labelled",37326,90.09
"s04q52b","4.52. Code de la branche d'activité","%6.2f","haven_labelled",37326,90.09
"s04q52c","4.52. Code de branche d'acativité","%6.2f","haven_labelled",37326,90.09
"s04q52d","4.52. Code d'activité","%6.2f","haven_labelled",37326,90.09
"s04q53","4.53. Principal employeur dans cet emploi","%6.2f","haven_labelled",37326,90.09
"s04q54","4.54. Nombre de mois  a exercé cet emploi au cours des 12 derniers mois","%6.2f","numeric",37326,90.09
"s04q55","4.55. Nombre de jours par mois  consacre  habituellement à cet emploi","%6.2f","numeric",37328,90.09
"s04q56","4.56. Nombre d'heures par jour  consacre-t-il  habituellement à cet emploi","%6.2f","numeric",37328,90.09
"s04q57","4.57. Catégorie socioprofessionnelle dans cet emploi","%60.2f","haven_labelled",37326,90.09
"s04q58","4.58. Revenu pour cet emploi au cours des 12 derniers mois","%6.2f","numeric",41334,99.76
"s04q58_unite","4.58. Unité","%6.2f","haven_labelled",41339,99.77
"s04q59","4.59. Bénéficie de primes dans le cadre de cet emploi","%6.2f","haven_labelled",41328,99.74
"s04q60","4.60. valuation de ces primes ( uniquement celles qui ne sont..)","%6.2f","numeric",41420,99.97
"s04q60_unite","4.60. Unité","%6.2f","haven_labelled",41421,99.97
"s04q61","4.61. Bénéficie d'autres avantages quelconques ( indemnités..)","%6.2f","haven_labelled",41328,99.74
"s04q62","4.62. Evaluation de ces avantages (uniquement ceux qui ne sont pas inclus..)","%6.2f","numeric",41425,99.98
"s04q62_unite","4.62. Unité","%6.2f","haven_labelled",41426,99.98
"s04q63","4.63. Recoit de la nourriture dans le cadre de cet emploi","%6.2f","haven_labelled",41328,99.74
"s04q64","4.64. Evaluation de cette nourriture","%6.2f","numeric",41426,99.98
"s04q64_unite","4.64. Unité","%6.2f","haven_labelled",41426,99.98
"s05q00","5.00. Répondant","%10.0g","numeric",18815,45.41
"s05q01","5.01. A béneficié d'une pension de retraite (civile et militaire)","%6.2f","haven_labelled",18815,45.41
"s05q02","5.02. Montant annuel de la pension de retraite (civile et miliatire y compris..)","%6.2f","numeric",41264,99.59
"s05q03","5.03. A bénéficié d'une pension de veuvage (en cas de père de conjoint)","%6.2f","haven_labelled",18815,45.41
"s05q04","5.04. Montant annuel de la pension de veuvage (en cas de perte du conjoint)","%6.2f","numeric",41335,99.76
"s05q05","5.05. A bénéficié de pension d'invalidité (en cas d'accident..)","%6.2f","haven_labelled",18815,45.41
"s05q06","5.06. Montant annuel de la pension d'invalidité (en cas d'accident du travail)","%6.2f","numeric",41422,99.97
"s05q07","5.07. A bénéficié d'une pension alimentaire","%6.2f","haven_labelled",18815,45.41
"s05q08","5.08. Montant annuel de la pension alimentaire","%6.2f","numeric",41423,99.97
"s05q09","5.09. A reçu un revenu provenant de loyers de maison","%6.2f","haven_labelled",18815,45.41
"s05q10","5.10. Montant annuel du revenu provenant de loyers de maison d'habitation perçu","%6.2f","numeric",40942,98.81
"s05q11","5.11. A reçu des revenus mobiliers et financiers","%6.2f","haven_labelled",18815,45.41
"s05q12","5.12. Montant annuel du revenu de mobiliers et financiers","%6.2f","numeric",41289,99.65
"s05q13","5.13. A reçu un autre revenu (gain de loterie, héritage…)","%6.2f","haven_labelled",18815,45.41
"s05q14","5.14. Montant annuel d'autres revenus (gain de loterie, héritage, vente de biens","%6.2f","numeric",40037,96.63
"s06q00","6.00. Répondant","%10.0g","numeric",18815,45.41
"s06q01__1","6.01. Possède un compte dans une banque classique","%6.2f","haven_labelled",18815,45.41
"s06q01__2","6.01. Possède un compte à la poste","%6.2f","haven_labelled",18815,45.41
"s06q01__3","6.01. Possède un compte dans une caisse rurale d'epargne, IMF","%6.2f","haven_labelled",18815,45.41
"s06q01__4","6.01. Possède un compte Mobile banking","%6.2f","haven_labelled",18815,45.41
"s06q01__5","6.01. Possède une carte prépayée","%6.2f","haven_labelled",18815,45.41
"s06q02","6.02. Possède de l'épargne dans ces comptes","%6.2f","haven_labelled",33845,81.68
"s06q03","6.03. A demandé un crédit à une institution financière","%6.2f","haven_labelled",26747,64.55
"s06q04","6.04. Pourquoi n'avoir pas demandé de crédit au cours des 12 derniers mois","%6.2f","haven_labelled",27165,65.56
"s06q04_autre","6.04. Autre. Préciser","%9s","character",0,0
"s06q05","6.05. A obtenu un crédit au cours des 12 derniers mois","%6.2f","haven_labelled",41016,98.99
"s06q06","6.06. Raison principale de n'avoir pas obtenu le crédit","%6.2f","haven_labelled",41322,99.73
"s06q06_autre","6.06. Autre. Préciser","%9s","character",0,0
"s06q07","6.07. Est membre de d'une tontine ou d'une association d'une association","%6.2f","haven_labelled",27053,65.29
"s06q08","6.08. A demandé du crédit dans cette association d'entraide","%6.2f","haven_labelled",29833,72
"s06q09","6.09. A néanmoins bénéficié d'un crédit dans le passé non completement remboursé","%6.2f","haven_labelled",27053,65.29
"s06q10","6.10. Nombre de crédit en cours, c'est-à-dire non totalement remboursés","%6.2f","numeric",20983,50.64
"s06q11","6.11. Principale utilisation fait du dernier crédit","%6.2f","haven_labelled",39908,96.32
"s06q11_autre","6.11. Autre. Préciser","%9s","character",0,0
"s06q12","6.12. Auprès de qui ce dernier crédit a-t-il été contracté","%6.2f","haven_labelled",39908,96.32
"s06q12_autre","6.12. Autre. Préciser","%79s","character",0,0
